date,expo_type
2007-01-05,Weekly
2007-01-12,Weekly
2007-01-20,Weekly
2007-01-20,Monthly
2007-01-26,Weekly
2007-02-02,Weekly
2007-02-09,Weekly
2007-02-17,Weekly
2007-02-17,Monthly
2007-02-23,Weekly
2007-03-02,Weekly
2007-03-09,Weekly
2007-03-17,Weekly
2007-03-17,Monthly
2007-03-23,Weekly
2007-03-30,Weekly
2007-04-06,Weekly
2007-04-13,Weekly
2007-04-21,Monthly
2007-04-21,Weekly
2007-04-27,Weekly
2007-05-04,Weekly
2007-05-11,Weekly
2007-05-19,Monthly
2007-05-19,Weekly
2007-05-25,Weekly
2007-06-01,Weekly
2007-06-08,Weekly
2007-06-16,Monthly
2007-06-16,Weekly
2007-06-22,Weekly
2007-06-29,Weekly
2007-07-06,Weekly
2007-07-13,Weekly
2007-07-21,Monthly
2007-07-21,Weekly
2007-07-27,Weekly
2007-08-03,Weekly
2007-08-10,Weekly
2007-08-18,Monthly
2007-08-18,Weekly
2007-08-24,Weekly
2007-08-31,Weekly
2007-09-07,Weekly
2007-09-14,Weekly
2007-09-22,Monthly
2007-09-22,Weekly
2007-09-28,Weekly
2007-10-05,Weekly
2007-10-12,Weekly
2007-10-20,Monthly
2007-10-20,Weekly
2007-10-26,Weekly
2007-11-02,Weekly
2007-11-09,Weekly
2007-11-17,Monthly
2007-11-17,Weekly
2007-11-23,Weekly
2007-11-30,Weekly
2007-12-07,Weekly
2007-12-14,Weekly
2007-12-22,Monthly
2007-12-22,Weekly
2007-12-28,Weekly
2008-01-04,Weekly
2008-01-11,Weekly
2008-01-19,Monthly
2008-01-19,Weekly
2008-01-25,Weekly
2008-02-01,Weekly
2008-02-08,Weekly
2008-02-16,Monthly
2008-02-16,Weekly
2008-02-22,Weekly
2008-02-29,Weekly
2008-03-07,Weekly
2008-03-14,Weekly
2008-03-22,Monthly
2008-03-22,Weekly
2008-03-28,Weekly
2008-04-04,Weekly
2008-04-11,Weekly
2008-04-19,Monthly
2008-04-19,Weekly
2008-04-25,Weekly
2008-05-02,Weekly
2008-05-09,Weekly
2008-05-17,Monthly
2008-05-17,Weekly
2008-05-23,Weekly
2008-05-30,Weekly
2008-06-06,Weekly
2008-06-13,Weekly
2008-06-21,Monthly
2008-06-21,Weekly
2008-06-27,Weekly
2008-07-04,Weekly
2008-07-11,Weekly
2008-07-19,Monthly
2008-07-19,Weekly
2008-07-25,Weekly
2008-08-01,Weekly
2008-08-08,Weekly
2008-08-16,Monthly
2008-08-16,Weekly
2008-08-22,Weekly
2008-08-29,Weekly
2008-09-05,Weekly
2008-09-12,Weekly
2008-09-20,Monthly
2008-09-20,Weekly
2008-09-26,Weekly
2008-10-03,Weekly
2008-10-10,Weekly
2008-10-18,Monthly
2008-10-18,Weekly
2008-10-24,Weekly
2008-10-31,Weekly
2008-11-07,Weekly
2008-11-14,Weekly
2008-11-22,Monthly
2008-11-22,Weekly
2008-11-28,Weekly
2008-12-05,Weekly
2008-12-12,Weekly
2008-12-20,Monthly
2008-12-20,Weekly
2008-12-26,Weekly
2009-01-02,Weekly
2009-01-09,Weekly
2009-01-17,Monthly
2009-01-17,Weekly
2009-01-23,Weekly
2009-01-30,Weekly
2009-02-06,Weekly
2009-02-13,Weekly
2009-02-21,Monthly
2009-02-21,Weekly
2009-02-27,Weekly
2009-03-06,Weekly
2009-03-13,Weekly
2009-03-21,Monthly
2009-03-21,Weekly
2009-03-27,Weekly
2009-04-03,Weekly
2009-04-10,Weekly
2009-04-18,Monthly
2009-04-18,Weekly
2009-04-24,Weekly
2009-05-01,Weekly
2009-05-08,Weekly
2009-05-16,Monthly
2009-05-16,Weekly
2009-05-22,Weekly
2009-05-29,Weekly
2009-06-05,Weekly
2009-06-12,Weekly
2009-06-20,Monthly
2009-06-20,Weekly
2009-06-26,Weekly
2009-07-03,Weekly
2009-07-10,Weekly
2009-07-18,Monthly
2009-07-18,Weekly
2009-07-24,Weekly
2009-07-31,Weekly
2009-08-07,Weekly
2009-08-14,Weekly
2009-08-22,Monthly
2009-08-22,Weekly
2009-08-28,Weekly
2009-09-04,Weekly
2009-09-11,Weekly
2009-09-19,Monthly
2009-09-19,Weekly
2009-09-25,Weekly
2009-10-02,Weekly
2009-10-09,Weekly
2009-10-17,Monthly
2009-10-17,Weekly
2009-10-23,Weekly
2009-10-30,Weekly
2009-11-06,Weekly
2009-11-13,Weekly
2009-11-21,Monthly
2009-11-21,Weekly
2009-11-27,Weekly
2009-12-04,Weekly
2009-12-11,Weekly
2009-12-19,Monthly
2009-12-19,Weekly
2009-12-25,Weekly
2010-01-01,Weekly
2010-01-08,Weekly
2010-01-16,Monthly
2010-01-16,Weekly
2010-01-22,Weekly
2010-01-29,Weekly
2010-02-05,Weekly
2010-02-12,Weekly
2010-02-20,Monthly
2010-02-20,Weekly
2010-02-26,Weekly
2010-03-05,Weekly
2010-03-12,Weekly
2010-03-20,Monthly
2010-03-20,Weekly
2010-03-26,Weekly
2010-04-02,Weekly
2010-04-09,Weekly
2010-04-17,Monthly
2010-04-17,Weekly
2010-04-23,Weekly
2010-04-30,Weekly
2010-05-07,Weekly
2010-05-14,Weekly
2010-05-22,Monthly
2010-05-22,Weekly
2010-05-28,Weekly
2010-06-04,Weekly
2010-06-11,Weekly
2010-06-19,Monthly
2010-06-19,Weekly
2010-06-25,Weekly
2010-07-02,Weekly
2010-07-09,Weekly
2010-07-17,Monthly
2010-07-17,Weekly
2010-07-23,Weekly
2010-07-30,Weekly
2010-08-06,Weekly
2010-08-13,Weekly
2010-08-21,Monthly
2010-08-21,Weekly
2010-08-27,Weekly
2010-09-03,Weekly
2010-09-10,Weekly
2010-09-18,Monthly
2010-09-18,Weekly
2010-09-24,Weekly
2010-10-01,Weekly
2010-10-08,Weekly
2010-10-16,Monthly
2010-10-16,Weekly
2010-10-22,Weekly
2010-10-29,Weekly
2010-11-05,Weekly
2010-11-12,Weekly
2010-11-20,Monthly
2010-11-20,Weekly
2010-11-26,Weekly
2010-12-03,Weekly
2010-12-10,Weekly
2010-12-17,Monthly
2010-12-17,Weekly
2010-12-24,Weekly
2010-12-31,Weekly
2011-01-07,Weekly
2011-01-14,Weekly
2011-01-21,Monthly
2011-01-21,Weekly
2011-01-28,Weekly
2011-02-04,Weekly
2011-02-11,Weekly
2011-02-18,Monthly
2011-02-18,Weekly
2011-02-25,Weekly
2011-03-04,Weekly
2011-03-11,Weekly
2011-03-18,Monthly
2011-03-18,Weekly
2011-03-25,Weekly
2011-04-01,Weekly
2011-04-08,Weekly
2011-04-15,Monthly
2011-04-15,Weekly
2011-04-22,Weekly
2011-04-29,Weekly
2011-05-06,Weekly
2011-05-13,Weekly
2011-05-20,Monthly
2011-05-20,Weekly
2011-05-27,Weekly
2011-06-03,Weekly
2011-06-10,Weekly
2011-06-17,Monthly
2011-06-17,Weekly
2011-06-24,Weekly
2011-07-01,Weekly
2011-07-08,Weekly
2011-07-15,Monthly
2011-07-15,Weekly
2011-07-22,Weekly
2011-07-29,Weekly
2011-08-05,Weekly
2011-08-12,Weekly
2011-08-19,Monthly
2011-08-19,Weekly
2011-08-26,Weekly
2011-09-02,Weekly
2011-09-09,Weekly
2011-09-16,Monthly
2011-09-16,Weekly
2011-09-23,Weekly
2011-09-30,Weekly
2011-10-07,Weekly
2011-10-14,Weekly
2011-10-21,Monthly
2011-10-21,Weekly
2011-10-28,Weekly
2011-11-04,Weekly
2011-11-11,Weekly
2011-11-18,Monthly
2011-11-18,Weekly
2011-11-25,Weekly
2011-12-02,Weekly
2011-12-09,Weekly
2011-12-16,Monthly
2011-12-16,Weekly
2011-12-23,Weekly
2011-12-30,Weekly
2012-01-06,Weekly
