Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,16.8,16.2,15.7,15.1,14.7,14.5,14.5,14.4,14.2,14.2,14.2,14.4
2010,14.2,14.6,14.8,15.4,15.6,16.0,16.2,16.3,16.4,16.7,16.8,17.0
2011,17.7,17.8,18.0,18.5,18.8,19.1,19.7,19.7,19.7,20.2,20.3,20.6
2012,20.9,21.4,21.7,22.3,22.7,23.2,23.5,23.7,23.5,23.6,23.6,23.6
2013,23.7,24.0,24.1,24.5,24.6,25.0,25.3,25.3,25.5,25.6,25.8,26.0
2014,26.3,26.5,26.7,27.8,28.0,28.5,29.1,29.3,29.2,29.7,29.7,29.5
2015,28.6,27.5,26.5,26.3,25.9,25.9,25.5,25.4,24.9,24.8,24.8,24.9
2016,24.7,24.2,23.7,23.2,22.7,22.7,23.1,23.2,23.3,23.7,23.9,24.1
2017,24.5,25.1,25.6,26.3,26.9,27.8,28.7,29.4,29.8,30.9,31.3,31.9
2018,32.6,33.9,34.9,35.7,36.3,36.9,37.9,38.5,38.6,39.2,39.0,39.4
2019,38.9,37.3,37.4,,,,,,,,,
