Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2/18/20,52.23,52.41,50.88,52.12,,52.05,212314,85385
2/14/20,51.51,52.34,51.32,52.25,0.63,52.05,599928,157931
2/13/20,51.72,51.96,50.6,51.52,0.25,51.42,728961,214576
2/12/20,49.96,51.73,49.95,51.69,1.23,51.17,782259,278095
2/11/20,49.61,50.69,49.58,49.95,0.37,49.94,707638,335932
2/10/20,50.12,50.49,49.42,49.65,0.75,49.57,702782,379169
2/7/20,51.11,51.48,50.09,50.34,0.63,50.32,749458,430469
2/6/20,51.17,52.2,50.24,51.09,0.2,50.95,739500,442120
2/5/20,49.51,51.88,49.47,51.17,1.14,50.75,880517,458035
2/4/20,49.94,51.55,49.31,49.45,0.5,49.61,851273,470020
2/3/20,51.01,51.97,49.8,49.91,1.45,50.11,863878,474837
1/31/20,52.92,53.36,50.97,51.63,0.58,51.56,816716,469599
1/30/20,53.09,53.2,51.66,52.95,1.19,52.14,709517,475517
1/29/20,53.97,54.37,52.81,53.08,0.15,53.33,616903,478095
1/28/20,52.77,54.06,52.68,53.98,0.34,53.48,624411,482572
1/27/20,53.7,53.71,52.13,52.83,1.05,53.14,703380,487487
1/24/20,55.69,55.95,53.85,54.2,1.4,54.19,575489,479247
1/23/20,56.11,56.27,54.77,55.7,1.15,55.59,689982,483899
1/22/20,58.26,58.38,56.03,56.08,1.64,56.74,612847,472315
1/21/20,59.17,59.73,57.68,58.25,0.2,58.34,36251,31495
1/17/20,58.59,58.98,58.27,58.81,0.02,58.54,118984,73735
1/16/20,58.1,58.87,57.56,58.59,0.71,58.52,178898,96523
1/15/20,58.2,58.36,57.36,58.1,0.42,57.81,426110,136771
1/14/20,58.03,58.72,57.72,58.14,0.15,58.23,494837,185715
1/13/20,59.04,59.27,57.91,58.09,0.96,58.08,572099,235115
1/10/20,59.61,59.78,58.85,59.12,0.52,59.04,579590,281957
1/9/20,59.99,60.31,58.66,59.59,0.05,59.56,738556,321112
1/8/20,62.84,65.65,59.15,59.98,3.09,59.61,1190608,355552
1/7/20,62.91,63.15,62.11,62.69,0.57,62.7,572417,368505
1/6/20,63.71,64.72,62.64,62.83,0.22,63.27,716888,388479
1/3/20,61.18,64.09,61.13,63.04,1.87,63.05,874669,397446
1/2/20,61.6,61.6,60.64,61.18,0.12,61.18,484686,405868
12/31/19,61.68,61.88,60.63,61.21,0.62,61.06,490241,411296
12/30/19,61.71,62.34,61.09,61.66,0.04,61.68,419548,417221
12/27/19,61.73,61.97,61.24,61.72,0.04,61.72,349013,426789
12/26/19,61.2,61.83,61.06,61.75,0.57,61.68,264787,425048
12/24/19,60.63,61.16,60.47,61.14,0.59,61.11,202579,427474
12/23/19,60.41,60.77,60.1,60.64,0.08,60.52,312904,437272
12/20/19,61.11,61.2,60.02,60.36,0.74,60.44,549238,457079
12/19/19,60.86,61.47,60.79,61.3,0.29,61.22,20830,22525
12/18/19,60.55,61.18,60.32,60.89,0.01,60.93,126653,68191
12/17/19,60.23,61.06,60.03,60.54,0.73,60.94,159796,97590
12/16/19,59.87,60.34,59.71,60.22,0.14,60.21,327159,153718
12/13/19,59.36,60.48,59.27,59.78,0.89,60.07,504361,192116
12/12/19,58.88,59.72,58.75,59.22,0.42,59.18,516596,235868
12/11/19,59.06,59.22,58.11,58.8,0.48,58.76,582135,292850
12/10/19,58.92,59.52,58.52,59.09,0.22,59.24,544222,338500
12/9/19,59.11,59.25,58.23,58.91,0.18,59.02,497980,377010
12/6/19,58.32,59.85,57.7,59.07,0.77,59.2,668483,406930
12/5/19,58.36,59.12,58.1,58.33,,58.43,637314,417297
12/4/19,56.43,58.66,56.28,58.35,2.33,58.43,750709,424780
12/3/19,55.96,56.8,55.35,56.32,0.14,56.1,557667,441048
12/2/19,55.47,56.67,55.42,55.99,0.79,55.96,604368,460065
11/29/19,58.13,58.3,55.02,55.42,2.94,55.17,716575,456055
11/27/19,58.27,58.68,57.51,58.14,0.3,58.11,449969,468393
11/26/19,57.92,58.56,57.76,58.32,0.4,58.41,438420,468297
11/25/19,57.92,58.15,57.21,57.91,0.24,58.01,418036,472791
11/22/19,58.31,58.74,57.5,57.93,0.81,57.77,498426,476262
11/21/19,57,58.67,56.6,58.33,1.57,58.58,584713,456331
11/20/19,55.16,57.25,54.76,56.91,1.9,57.11,20010,21431
11/19/19,56.9,57.11,55.04,55.15,1.84,55.21,112858,66546
11/18/19,57.88,58.09,56.55,56.88,0.67,57.05,148713,99745
11/15/19,56.91,57.97,56.43,57.93,0.95,57.72,369252,151818
11/14/19,57.39,57.79,56.63,56.9,0.35,56.77,500610,195007
11/13/19,56.79,57.53,56.2,57.38,0.32,57.12,535791,225970
11/12/19,56.89,57.55,56.54,56.78,0.06,56.8,569382,280384
11/11/19,57.4,57.4,56.25,56.9,0.38,56.86,486317,317237
11/8/19,57.08,57.48,55.76,57.45,0.09,57.24,618762,352155
11/7/19,56.35,57.88,56.27,57.07,0.8,57.15,665028,371300
11/6/19,57.26,57.85,56.11,56.39,0.88,56.35,606612,396036
11/5/19,56.56,57.5,56.3,57.27,0.69,57.23,426622,404360
11/4/19,56.41,57.43,55.83,56.52,0.34,56.54,572415,404503
11/1/19,54.15,56.33,54.07,56.23,2.02,56.2,534607,412776
10/31/19,54.9,55.59,53.71,54.14,0.88,54.18,664901,411933
10/30/19,55.53,55.73,54.42,54.9,0.48,55.06,648745,426782
10/29/19,55.8,55.91,54.61,55.5,0.27,55.54,517081,435462
10/28/19,56.65,56.92,55.58,55.74,0.85,55.81,432867,441829
10/25/19,56.07,56.74,55.6,56.63,0.43,56.66,434069,443522
10/24/19,55.9,56.51,55.41,56.07,0.26,56.23,473845,448853
10/23/19,54.3,56.07,53.62,55.88,1.49,55.97,614571,455346
10/22/19,53.39,54.62,53.1,54.21,0.85,54.16,23001,25416
10/21/19,53.71,54.03,52.71,53.46,0.47,53.31,89865,54642
10/18/19,54.09,54.62,53.35,53.7,0.15,53.78,168784,79987
10/17/19,52.99,54.16,52.62,54.1,0.57,53.93,416206,121510
10/16/19,52.92,53.74,52.51,52.97,0.55,53.36,443420,146833
10/15/19,53.51,53.79,52.39,52.91,0.78,52.81,501155,167983
10/14/19,54.9,54.9,52.77,53.48,1.11,53.59,461485,182895
10/11/19,53.88,54.93,53.64,54.91,1.15,54.7,726748,224022
10/10/19,52.69,53.97,51.38,53.86,0.96,53.55,601846,258642
10/9/19,52.57,53.74,52.31,52.65,0.04,52.59,621987,303430
10/8/19,52.81,53.27,51.81,52.57,0.12,52.63,647202,353392
10/7/19,52.69,54.06,52.59,52.8,0.06,52.75,544705,388735
10/4/19,52.29,53.35,52.04,53.01,0.36,52.81,536843,391826
10/3/19,52.47,52.91,50.99,52.31,0.19,52.45,632638,387010
10/2/19,54,54.42,52.17,52.47,0.98,52.64,581117,385741
10/1/19,54.28,54.84,53.05,53.98,0.45,53.62,576795,384034
9/30/19,56.54,56.57,53.98,54.24,1.84,54.07,520489,380790
9/27/19,56.51,56.76,54.75,56.18,0.5,55.91,708150,384036
9/26/19,56.69,56.84,55.41,56.54,0.08,56.41,593823,390178
9/25/19,56.7,57.02,55.55,56.66,0.8,56.49,556374,404106
9/24/19,58.44,58.49,56.69,56.79,1.35,57.29,583559,406079
9/23/19,59.25,59.39,57.37,58.49,0.55,58.64,521840,411387
9/20/19,58.65,59.1,57.79,58.09,0.04,58.09,20652,20475
9/19/19,58.2,59.54,58.01,58.68,0.02,58.13,110777,59406
9/18/19,58.81,59.43,57.67,58.25,1.23,58.11,214339,80041
9/17/19,61.96,62.59,58.46,58.81,3.56,59.34,986897,138296
9/16/19,61.48,63.38,58.77,61.88,8.05,62.9,1389653,159934
9/13/19,55.15,55.68,54.44,54.82,0.24,54.85,585125,191570
9/12/19,55.93,56.34,54,55.12,0.66,55.09,831790,227421
9/11/19,57.89,58.3,55.61,55.97,1.65,55.75,844787,265327
9/10/19,58.03,58.76,57.2,57.87,0.45,57.4,744168,299951
9/9/19,56.8,58.16,56.58,58.05,1.33,57.85,634826,319489
9/6/19,56.19,56.95,54.83,56.62,0.22,56.52,702868,351755
9/5/19,55.95,57.76,55.75,56.17,0.04,56.3,704504,370141
9/4/19,53.92,56.58,53.84,55.98,2.32,56.26,674506,372871
9/3/19,55,55.24,52.84,53.93,1.16,53.94,958658,370192
8/30/19,56.63,56.72,54.55,55.16,1.61,55.1,698554,373402
8/29/19,55.88,56.89,55.43,56.61,0.93,56.71,625668,369335
8/28/19,55.71,56.75,55.34,55.9,0.85,55.78,667850,362457
8/27/19,53.76,55.72,53.69,55.69,1.29,54.93,593925,359507
8/26/19,53.25,55.26,52.96,53.8,0.53,53.64,677331,361189
8/23/19,55.35,55.6,53.24,53.97,1.18,54.17,803309,366408
8/22/19,55.94,56.46,54.85,55.39,0.33,55.35,618408,369434
8/21/19,56.05,57.13,55.55,55.85,0.45,55.68,702767,389410
8/20/19,56.1,56.6,55.28,56.18,0.13,56.34,29321,34638
8/19/19,54.96,56.41,54.84,56.17,1.34,56.21,108813,82935
8/16/19,54.74,55.67,54.26,54.93,0.4,54.87,163214,100019
8/15/19,54.9,55.33,53.77,54.7,0.76,54.47,517218,137250
8/14/19,56.74,56.85,53.97,54.95,1.87,55.23,713039,174139
8/13/19,54.73,57.47,54.21,56.73,2.17,57.1,770720,227125
8/12/19,54.32,55.18,53.54,54.78,0.43,54.93,605566,266871
8/9/19,52.88,54.92,52.37,54.27,1.96,54.5,715051,301000
8/8/19,52.33,53.06,51.94,52.92,1.45,52.54,713427,344560
8/7/19,53.42,53.77,50.52,52.31,2.54,51.09,1039995,381492
8/6/19,54.95,55.42,53.29,53.46,1.06,53.63,668039,384410
8/5/19,55.38,55.61,54.22,55.01,0.97,54.69,815032,399849
8/2/19,54.54,56.05,54.15,55.19,1.71,55.66,730647,403715
8/1/19,57.85,57.99,53.59,54.49,4.63,53.95,878549,402392
7/31/19,58.34,58.82,57.81,57.89,0.53,58.58,604858,406009
7/30/19,57.07,58.47,56.96,58.34,1.18,58.05,543567,411795
7/29/19,56.2,57.1,55.81,57.05,0.67,56.87,541398,410680
7/26/19,55.93,56.57,55.68,56.16,0.18,56.2,474196,417324
7/25/19,55.9,56.99,55.81,55.91,0.14,56.02,557841,421203
7/24/19,57.23,57.64,55.33,55.9,0.89,55.88,742383,431404
7/23/19,56.17,57.47,55.74,57.17,0.55,56.77,520910,438301
7/22/19,56.22,56.84,55.72,56.09,0.59,56.22,17547,19557
7/19/19,55.72,56.36,54.99,55.74,0.33,55.63,101400,55908
7/18/19,56.6,57.32,54.72,55.63,1.48,55.3,204452,83809
7/17/19,57.52,58.36,56.21,56.58,0.84,56.78,499896,119793
7/16/19,59.26,60.06,57.07,57.48,1.96,57.62,706531,147999
7/15/19,60.25,60.92,59.2,59.32,0.63,59.58,556434,179768
7/12/19,60.46,60.74,59.93,60.39,0.01,60.21,464959,199666
7/11/19,60.44,60.94,60.14,60.43,0.23,60.2,561114,215505
7/10/19,58.4,60.53,58.35,60.27,2.6,60.43,680567,234613
7/9/19,57.56,59.1,57.29,58.34,0.17,57.83,536953,262191
7/8/19,57.77,58.46,57.3,57.56,0.15,57.66,530027,289164
7/5/19,57.38,57.82,56.29,57.73,0.17,57.51,695685,299915
7/3/19,56.49,57.48,56.04,57.4,1.09,57.34,597805,313008
7/2/19,59.14,59.43,56.09,56.32,2.84,56.25,875701,319323
7/1/19,59.27,60.28,58.34,59.19,0.62,59.09,669121,328837
6/28/19,59.22,59.8,57.75,58.2,0.96,58.47,546625,334543
6/27/19,59.27,59.73,58.61,59.29,0.05,59.43,528891,338300
6/26/19,58.84,59.93,58.65,59.21,1.55,59.38,679705,338117
6/25/19,57.74,58.84,57.2,58.77,0.07,57.83,669244,341183
6/24/19,57.72,58.22,56.75,57.75,0.47,57.9,594016,345680
6/21/19,57.26,57.98,56.66,57.6,0.36,57.43,671436,347579
6/20/19,54.12,57.02,54.11,56.88,2.89,56.65,19128,21321
6/19/19,54.09,54.42,53.28,54.14,0.14,53.76,118487,54119
6/18/19,51.95,54.31,51.5,54.08,1.97,53.9,174228,79872
6/17/19,52.5,52.74,51.58,51.92,0.58,51.93,387153,128496
6/14/19,52.18,52.98,51.7,52.52,0.23,52.51,564727,157857
6/13/19,51.07,53.45,50.92,52.2,1.14,52.28,931283,203403
6/12/19,53.04,53.05,50.72,51.08,2.13,51.14,777084,237203
6/11/19,53.43,54.04,52.91,53.05,0.01,53.27,633405,272110
6/10/19,54.24,54.84,53.05,53.42,0.73,53.26,677186,308942
6/7/19,53.1,54.32,52.62,54.04,1.4,53.99,815827,343970
6/6/19,51.66,53.3,51.17,53.18,0.91,52.59,780177,362201
6/5/19,52.86,53.41,50.6,51.7,1.8,51.68,936240,363046
6/4/19,52.89,53.78,52.43,52.95,0.23,53.48,824121,366193
6/3/19,53.42,54.63,52.11,52.85,0.25,53.25,977263,368466
5/31/19,56.46,56.61,53.05,53.36,3.09,53.5,1019958,376374
5/30/19,59.12,59.7,56.33,56.41,2.22,56.59,836298,382277
5/29/19,59.07,59.14,56.88,59.06,0.33,58.81,1110718,412018
5/28/19,58.94,59.57,58.13,59.06,0.51,59.14,1014362,427918
5/24/19,58.21,59.1,57.5,59.02,0.72,58.63,751970,438307
5/23/19,61.31,61.41,57.33,58.19,3.51,57.91,1097100,441633
5/22/19,62.95,63,61.03,61.32,1.71,61.42,760051,441614
5/21/19,63.22,63.6,62.75,63.02,0.11,62.99,20571,20690
5/20/19,62.93,63.81,62.45,63.18,0.34,63.1,122263,66762
5/17/19,63.12,63.64,62.52,62.71,0.11,62.76,207324,98367
5/16/19,62.12,63.48,62.08,63.14,0.85,62.87,539474,166034
5/15/19,61.37,62.34,60.85,62.13,0.24,62.02,710377,203905
5/14/19,60.86,62.11,60.69,61.34,0.74,61.78,743679,229525
5/13/19,61.65,63.33,60.64,60.84,0.62,61.04,991128,261381
5/10/19,61.64,62.49,61.42,61.71,0.04,61.66,772266,292022
5/9/19,62.02,62.21,60.92,61.6,0.42,61.7,757942,315442
5/8/19,61.44,62.37,61.07,61.99,0.72,62.12,779061,347698
5/7/19,62.17,62.49,60.66,61.44,0.85,61.4,829754,384049
5/6/19,61.43,62.95,60.04,62.54,0.31,62.25,764705,394652
5/3/19,61.55,62.52,61.3,61.86,0.13,61.94,642456,420813
5/2/19,63.61,63.68,60.95,61.54,1.79,61.81,905145,431230
5/1/19,63.4,63.93,62.77,63.62,0.31,63.6,671560,439249
4/30/19,63.58,64.75,63.3,63.47,0.41,63.91,739813,446583
4/29/19,62.95,63.69,62.46,63.61,0.2,63.5,647323,456552
4/26/19,65.13,65.18,62.28,62.8,1.91,63.3,992963,459817
