date,ytm
3/31/2010,4.69%
4/1/2010,4.72%
4/2/2010,4.78%
4/5/2010,4.82%
4/6/2010,4.79%
4/7/2010,4.71%
4/8/2010,4.72%
4/9/2010,4.70%
4/12/2010,4.67%
4/13/2010,4.64%
4/14/2010,4.65%
4/15/2010,4.64%
4/16/2010,4.57%
4/19/2010,4.61%
4/20/2010,4.60%
4/21/2010,4.55%
4/22/2010,4.57%
4/23/2010,4.61%
4/26/2010,4.60%
4/27/2010,4.48%
4/28/2010,4.54%
4/29/2010,4.49%
4/30/2010,4.48%
5/3/2010,4.63%
5/4/2010,4.59%
5/5/2010,4.58%
5/6/2010,4.57%
5/7/2010,4.73%
5/10/2010,4.74%
5/11/2010,4.72%
5/12/2010,4.74%
5/13/2010,4.73%
5/14/2010,4.66%
5/17/2010,4.69%
5/18/2010,4.62%
5/19/2010,4.67%
5/20/2010,4.65%
5/21/2010,4.66%
5/24/2010,4.74%
5/25/2010,4.75%
5/26/2010,4.80%
5/27/2010,4.85%
5/28/2010,4.78%
5/31/2010,4.79%
6/1/2010,4.84%
6/2/2010,4.95%
6/3/2010,5.01%
6/4/2010,4.89%
6/7/2010,4.93%
6/8/2010,4.97%
6/9/2010,5.09%
6/10/2010,5.22%
6/11/2010,5.21%
6/14/2010,5.18%
6/15/2010,5.26%
6/16/2010,5.23%
6/17/2010,5.14%
6/18/2010,5.14%
6/21/2010,5.13%
6/22/2010,5.09%
6/23/2010,5.06%
6/24/2010,5.07%
6/25/2010,5.08%
6/28/2010,4.98%
6/29/2010,4.98%
6/30/2010,4.94%
7/1/2010,4.70%
7/2/2010,4.73%
7/5/2010,4.74%
7/6/2010,4.71%
7/7/2010,4.67%
7/8/2010,4.70%
7/9/2010,4.70%
7/12/2010,4.68%
7/13/2010,4.72%
7/14/2010,4.64%
7/15/2010,4.62%
7/16/2010,4.54%
7/19/2010,4.54%
7/20/2010,4.52%
7/21/2010,4.56%
7/22/2010,4.57%
7/23/2010,4.59%
7/26/2010,4.57%
7/27/2010,4.58%
7/28/2010,4.55%
7/29/2010,4.53%
7/30/2010,4.46%
8/2/2010,4.38%
8/3/2010,4.34%
8/4/2010,4.35%
8/5/2010,4.33%
8/6/2010,4.28%
8/9/2010,4.27%
8/10/2010,4.26%
8/11/2010,4.21%
8/12/2010,4.24%
8/13/2010,4.22%
8/16/2010,4.16%
8/17/2010,4.19%
8/18/2010,4.19%
8/19/2010,4.14%
8/20/2010,4.17%
8/23/2010,4.17%
8/24/2010,4.11%
8/25/2010,4.15%
8/26/2010,4.12%
8/27/2010,4.23%
8/30/2010,4.16%
8/31/2010,4.12%
9/1/2010,4.33%
9/2/2010,4.33%
9/3/2010,4.35%
9/6/2010,4.36%
9/7/2010,4.28%
9/8/2010,4.31%
9/9/2010,4.36%
9/10/2010,4.36%
9/13/2010,4.31%
9/14/2010,4.26%
9/15/2010,4.28%
9/16/2010,4.30%
9/17/2010,4.28%
9/20/2010,4.25%
9/21/2010,4.17%
9/22/2010,4.15%
9/23/2010,4.15%
9/24/2010,4.18%
9/27/2010,4.12%
9/28/2010,4.08%
9/29/2010,4.10%
9/30/2010,4.07%
10/1/2010,4.12%
10/4/2010,4.09%
10/5/2010,4.07%
10/6/2010,4.00%
10/7/2010,4.00%
10/8/2010,3.99%
10/11/2010,3.99%
10/12/2010,4.01%
10/13/2010,4.02%
10/14/2010,4.06%
10/15/2010,4.10%
10/18/2010,4.05%
10/19/2010,4.03%
10/20/2010,4.02%
10/21/2010,4.05%
10/22/2010,4.05%
10/25/2010,4.06%
