date,ytw
3/31/2010,4.67%
4/1/2010,4.70%
4/2/2010,4.76%
4/5/2010,4.81%
4/6/2010,4.78%
4/7/2010,4.68%
4/8/2010,4.70%
4/9/2010,4.67%
4/12/2010,4.64%
4/13/2010,4.61%
4/14/2010,4.62%
4/15/2010,4.61%
4/16/2010,4.53%
4/19/2010,4.59%
4/20/2010,4.58%
4/21/2010,4.52%
4/22/2010,4.55%
4/23/2010,4.59%
4/26/2010,4.58%
4/27/2010,4.46%
4/28/2010,4.52%
4/29/2010,4.47%
4/30/2010,4.44%
5/3/2010,4.60%
5/4/2010,4.55%
5/5/2010,4.53%
5/6/2010,4.55%
5/7/2010,4.72%
5/10/2010,4.73%
5/11/2010,4.69%
5/12/2010,4.71%
5/13/2010,4.70%
5/14/2010,4.63%
5/17/2010,4.67%
5/18/2010,4.60%
5/19/2010,4.65%
5/20/2010,4.64%
5/21/2010,4.64%
5/24/2010,4.73%
5/25/2010,4.74%
5/26/2010,4.80%
5/27/2010,4.84%
5/28/2010,4.78%
5/31/2010,4.78%
6/1/2010,4.83%
6/2/2010,4.94%
6/3/2010,5.01%
6/4/2010,4.89%
6/7/2010,4.92%
6/8/2010,4.96%
6/9/2010,5.08%
6/10/2010,5.22%
6/11/2010,5.20%
6/14/2010,5.17%
6/15/2010,5.25%
6/16/2010,5.22%
6/17/2010,5.13%
6/18/2010,5.12%
6/21/2010,5.11%
6/22/2010,5.07%
6/23/2010,5.04%
6/24/2010,5.05%
6/25/2010,5.06%
6/28/2010,4.97%
6/29/2010,4.96%
6/30/2010,4.92%
7/1/2010,4.68%
7/2/2010,4.71%
7/5/2010,4.71%
7/6/2010,4.69%
7/7/2010,4.65%
7/8/2010,4.67%
7/9/2010,4.67%
7/12/2010,4.65%
7/13/2010,4.69%
7/14/2010,4.59%
7/15/2010,4.57%
7/16/2010,4.49%
7/19/2010,4.51%
7/20/2010,4.48%
7/21/2010,4.51%
7/22/2010,4.52%
7/23/2010,4.54%
7/26/2010,4.53%
7/27/2010,4.54%
7/28/2010,4.50%
7/29/2010,4.50%
7/30/2010,4.42%
8/2/2010,4.35%
8/3/2010,4.30%
8/4/2010,4.30%
8/5/2010,4.29%
8/6/2010,4.24%
8/9/2010,4.21%
8/10/2010,4.20%
8/11/2010,4.14%
8/12/2010,4.19%
8/13/2010,4.17%
8/16/2010,4.10%
8/17/2010,4.13%
8/18/2010,4.16%
8/19/2010,4.12%
8/20/2010,4.14%
8/23/2010,4.15%
8/24/2010,4.09%
8/25/2010,4.13%
8/26/2010,4.10%
8/27/2010,4.21%
8/30/2010,4.14%
8/31/2010,4.10%
9/1/2010,4.31%
9/2/2010,4.31%
9/3/2010,4.33%
9/6/2010,4.34%
9/7/2010,4.26%
9/8/2010,4.29%
9/9/2010,4.35%
9/10/2010,4.34%
9/13/2010,4.29%
9/14/2010,4.24%
9/15/2010,4.26%
9/16/2010,4.27%
9/17/2010,4.26%
9/20/2010,4.23%
9/21/2010,4.15%
9/22/2010,4.13%
9/23/2010,4.13%
9/24/2010,4.15%
9/27/2010,4.10%
9/28/2010,4.06%
9/29/2010,4.08%
9/30/2010,4.04%
10/1/2010,4.09%
10/4/2010,4.05%
10/5/2010,4.04%
10/6/2010,3.96%
10/7/2010,3.96%
10/8/2010,3.95%
10/11/2010,3.95%
10/12/2010,3.97%
10/13/2010,3.98%
10/14/2010,4.02%
10/15/2010,4.05%
10/18/2010,4.01%
10/19/2010,3.99%
10/20/2010,3.98%
10/21/2010,4.01%
10/22/2010,4.00%
10/25/2010,4.01%
10/26/2010,4.07%
10/27/2010,4.11%
10/28/2010,4.08%
10/29/2010,4.04%
11/1/2010,4.05%
11/2/2010,4.01%
11/3/2010,4.05%
11/4/2010,3.94%
11/5/2010,3.96%
11/8/2010,3.99%
11/9/2010,4.05%
11/10/2010,4.02%
11/11/2010,4.04%
11/12/2010,4.10%
11/15/2010,4.23%
11/16/2010,4.20%
11/17/2010,4.21%
11/18/2010,4.22%
11/19/2010,4.22%
11/22/2010,4.18%
11/23/2010,4.16%
11/24/2010,4.28%
11/25/2010,4.26%
11/26/2010,4.23%
11/29/2010,4.22%
11/30/2010,4.20%
12/1/2010,4.35%
12/2/2010,4.37%
12/3/2010,4.35%
12/6/2010,4.30%
12/7/2010,4.46%
12/8/2010,4.57%
12/9/2010,4.57%
12/10/2010,4.60%
12/13/2010,4.46%
12/14/2010,4.57%
12/15/2010,4.61%
12/16/2010,4.58%
12/17/2010,4.48%
12/20/2010,4.51%
12/21/2010,4.48%
12/22/2010,4.50%
12/23/2010,4.51%
12/24/2010,4.52%
12/27/2010,4.48%
12/28/2010,4.57%
12/29/2010,4.45%
12/30/2010,4.45%
12/31/2010,4.40%
1/3/2011,4.47%
1/4/2011,4.48%
1/5/2011,4.54%
1/6/2011,4.48%
1/7/2011,4.42%
1/10/2011,4.40%
1/11/2011,4.40%
1/12/2011,4.41%
1/13/2011,4.37%
1/14/2011,4.38%
1/17/2011,4.36%
1/18/2011,4.38%
1/19/2011,4.35%
1/20/2011,4.45%
1/21/2011,4.42%
1/24/2011,4.39%
1/25/2011,4.34%
1/26/2011,4.40%
1/27/2011,4.35%
1/28/2011,4.32%
1/31/2011,4.34%
2/1/2011,4.38%
2/2/2011,4.42%
2/3/2011,4.44%
2/4/2011,4.51%
2/7/2011,4.48%
2/8/2011,4.51%
2/9/2011,4.44%
2/10/2011,4.50%
2/11/2011,4.46%
2/14/2011,4.45%
2/15/2011,4.43%
2/16/2011,4.44%
2/17/2011,4.39%
2/18/2011,4.40%
2/21/2011,4.37%
2/22/2011,4.32%
2/23/2011,4.40%
2/24/2011,4.37%
2/25/2011,4.39%
2/28/2011,4.37%
3/1/2011,4.37%
3/2/2011,4.41%
3/3/2011,4.48%
3/4/2011,4.41%
3/7/2011,4.42%
3/8/2011,4.44%
3/9/2011,4.40%
3/10/2011,4.36%
3/11/2011,4.36%
3/14/2011,4.33%
3/15/2011,4.35%
3/16/2011,4.30%
3/17/2011,4.33%
3/18/2011,4.30%
3/21/2011,4.31%
3/22/2011,4.32%
3/23/2011,4.34%
3/24/2011,4.38%
3/25/2011,4.43%
3/28/2011,4.38%
3/29/2011,4.41%
3/30/2011,4.38%
3/31/2011,4.38%
4/1/2011,4.41%
4/4/2011,4.39%
4/5/2011,4.42%
4/6/2011,4.45%
4/7/2011,4.44%
4/8/2011,4.44%
4/11/2011,4.45%
4/12/2011,4.41%
4/13/2011,4.37%
4/14/2011,4.39%
4/15/2011,4.33%
4/18/2011,4.32%
4/19/2011,4.30%
4/20/2011,4.33%
4/21/2011,4.33%
4/22/2011,4.32%
4/25/2011,4.29%
4/26/2011,4.25%
4/27/2011,4.28%
4/28/2011,4.24%
4/29/2011,4.22%
5/2/2011,4.20%
5/3/2011,4.18%
5/4/2011,4.16%
5/5/2011,4.12%
5/6/2011,4.13%
5/9/2011,4.12%
5/10/2011,4.16%
5/11/2011,4.12%
5/12/2011,4.16%
5/13/2011,4.12%
5/16/2011,4.10%
5/17/2011,4.08%
5/18/2011,4.12%
5/19/2011,4.13%
5/20/2011,4.10%
5/23/2011,4.10%
5/24/2011,4.10%
5/25/2011,4.11%
5/26/2011,4.06%
5/27/2011,4.08%
5/30/2011,4.07%
5/31/2011,4.06%
6/1/2011,4.02%
6/2/2011,4.09%
6/3/2011,4.07%
6/6/2011,4.08%
6/7/2011,4.08%
6/8/2011,4.06%
6/9/2011,4.09%
6/10/2011,4.07%
6/13/2011,4.10%
6/14/2011,4.17%
6/15/2011,4.08%
6/16/2011,4.06%
6/17/2011,4.11%
6/20/2011,4.12%
6/21/2011,4.12%
6/22/2011,4.13%
6/23/2011,4.09%
6/24/2011,4.09%
6/27/2011,4.15%
6/28/2011,4.21%
6/29/2011,4.23%
6/30/2011,4.25%
7/1/2011,4.27%
7/4/2011,4.24%
7/5/2011,4.19%
7/6/2011,4.15%
7/7/2011,4.17%
7/8/2011,4.07%
7/11/2011,4.01%
7/12/2011,4.06%
7/13/2011,4.05%
7/14/2011,4.07%
7/15/2011,4.05%
7/18/2011,4.06%
7/19/2011,4.03%
7/20/2011,4.05%
7/21/2011,4.08%
7/22/2011,4.03%
7/25/2011,4.06%
7/26/2011,4.01%
7/27/2011,4.02%
7/28/2011,4.03%
7/29/2011,3.95%
8/1/2011,3.92%
8/2/2011,3.83%
8/3/2011,3.84%
8/4/2011,3.82%
8/5/2011,3.93%
8/8/2011,3.97%
8/9/2011,3.91%
8/10/2011,3.93%
8/11/2011,4.13%
8/12/2011,3.99%
8/15/2011,4.03%
8/16/2011,3.97%
8/17/2011,3.92%
8/18/2011,3.90%
8/19/2011,3.90%
8/22/2011,3.94%
8/23/2011,4.03%
8/24/2011,4.14%
8/25/2011,4.10%
8/26/2011,4.08%
8/29/2011,4.13%
8/30/2011,4.05%
8/31/2011,4.05%
9/1/2011,4.00%
9/2/2011,3.90%
9/5/2011,3.89%
9/6/2011,3.93%
9/7/2011,3.95%
9/8/2011,3.92%
9/9/2011,3.87%
9/12/2011,3.94%
9/13/2011,4.01%
9/14/2011,4.01%
9/15/2011,4.06%
9/16/2011,4.04%
9/19/2011,3.95%
9/20/2011,3.96%
9/21/2011,3.91%
9/22/2011,3.87%
9/23/2011,3.95%
9/26/2011,4.04%
9/27/2011,4.11%
9/28/2011,4.11%
9/29/2011,4.09%
9/30/2011,4.10%
10/3/2011,4.03%
10/4/2011,4.12%
10/5/2011,4.19%
10/6/2011,4.19%
10/7/2011,4.24%
10/10/2011,4.28%
10/11/2011,4.24%
